Vertex,Distance_to_Border
139,5.632820043711319
140,37.58824603226699
157,29.05573900569231
207,80.46547654649191
444,66.29825750120854
451,3.561700877852709
571,1.7415305024161793
575,21.274310287085488
577,51.078141590547666
578,65.53079043323189
627,13.347899473198575
628,45.37271932000045
1262,0.0
1263,3.9493749277161943
1264,8.134000849633054
1266,13.486453133003254
1272,29.432361056803597
1273,29.194227393387845
1274,37.36227223269939
1276,44.35306888874036
1278,58.76923786324506
1401,23.666507149253654
1402,15.791820451532622
1403,21.20161777214218
1404,60.609740773116506
1405,53.29326625926148
1406,53.52983479945343
1522,71.24721448700825
1523,72.39758395257904
1701,44.50511022740073
1993,59.35590704770636
1994,67.2207772695455
1995,73.3918297265703
2011,0.0
2350,0.0
2358,4.93692756185992
2360,13.114576034258288
2361,13.10903107665063
2362,20.97035577183598
2368,51.52682360096175
2369,58.313371877873394
2370,64.87857842492811
2371,71.81950705411776
2515,10.851750874133948
2516,7.874642077237081
2519,45.068384820953916
2520,37.21255395533318
2522,37.31246666200332
2523,29.129344470455493
3182,2.8432419424565945
3183,4.068948634927158
3184,6.891899809985103
3185,10.82203639419659
3186,9.562028681213308
3192,33.51067146937508
3193,33.389383569180026
3194,37.46355150986912
3195,40.855304212966594
3196,40.96766083351832
3321,25.49770768840925
3322,21.576806363043037
3323,25.130092989844155
3324,61.564277161012114
3325,57.48916532481891
3496,74.70894696446737
3497,75.27921407655526
4371,62.83897947825663
4372,63.29496802595274
4373,66.7703222957132
4374,76.43018884972228
4375,72.8925604709099
4376,76.93517572299054
4407,0.0
4409,0.0
4411,1.8116807085834954
5230,8.005699943264071
5231,5.9846051577690185
5253,21.311816991699665
5255,17.179785816121885
5256,13.097835980483401
5257,17.187956946792163
5258,17.031014113697562
5259,21.1163868841239
5260,33.15475727974704
5261,29.053251722401573
5267,47.58959186644913
5273,48.09825929262
5274,51.560415942316446
5275,62.169033468452106
5276,58.561209937382536
5277,61.91853468905453
5278,61.609703124853255
5279,65.21835914334444
5280,68.34373594187421
5281,68.6881466911681
5643,14.79157645251551
5644,13.70879962115733
5645,11.836582845594547
5646,9.751119736158758
5647,5.821600662921789
5648,9.427409944153558
5652,49.33391163797123
5653,49.18220892421328
5654,45.22153873774888
5655,41.13269042017746
5656,41.292450805669986
5663,33.22016102670879
5664,29.15435095559406
5665,25.194891307315736
6368,65.80357908731341
6370,81.00747915966505
6391,3.5918451594471703
6881,0.0
6882,2.0363503491115775
6883,6.1049979817449955
6897,25.396052435136212
6898,25.349297479880686
6899,25.22815233716683
6900,29.300008817525946
6901,33.27310974528598
6902,37.24578158053675
6904,40.731166866433135
6905,44.239721883574184
6906,47.731711697630026
7130,17.61574110452888
7131,19.72952208067807
7132,17.64134133484889
7133,17.270227608385326
7134,56.68340572592231
7136,57.3749943474936
7137,53.41052213864735
7138,49.45396645594173
7390,67.79612816298996
7391,68.36722340208752
7392,71.81406573058968
7393,75.84949840602823
7394,79.88460651296107
7797,1.7936566405929888
7809,41.04686954388336
7988,32.982188336406374
8562,59.80788122614955
8563,63.73930935316125
8566,69.34650947579418
8567,69.84070685457208
8568,77.46320518877059
8569,73.9092851274752
8570,70.36284320798987
8571,70.80518470306397
9606,0.8986088491519477
9607,1.917979314186598
9608,3.726537564925444
9629,0.9829554946854736
9630,4.916221144735174
9637,9.022460189735014
9638,9.003473773428349
9639,9.032323370226363
9640,12.957420518171869
9641,16.897089449917633
9643,25.076795807105217
9658,44.543257973440774
9659,47.94435180770447
9660,51.32021625097291
9661,55.151948550749424
9662,54.93591056390111
9663,54.69766942741018
9664,57.98589041497028
9665,61.2637676852944
9666,64.49855267722323
9667,67.96864483395525
9668,71.43686954861352
10101,7.177577602816217
10102,13.659181891343465
10103,9.701570552656197
10104,5.743013948596941
10105,3.9377616538615623
10114,40.982565165435986
10115,37.05146070944468
10116,33.13625143997315
10119,45.48246970042059
10122,41.34908454788736
10123,37.26964769073448
10124,33.17492842729372
10125,29.09245813828668
10126,25.166769252651292
10127,21.229508300276706
10128,17.30243978848887
10862,3.8449778834342654
10863,4.852147206564506
10864,5.879180186311807
10865,7.838466145789685
10866,7.59180138640557
10870,35.57075168295995
10871,33.527200588965044
10872,35.54767996047847
10873,35.48349391785931
10874,37.52661828533533
10875,39.21688918889762
10876,39.27818859086999
10999,29.31282509863156
11000,27.537366323873687
11001,27.281531377731962
11002,25.313182694364997
11003,27.09090008099801
11005,59.586890755606326
12049,64.3223624120837
12050,62.59830925748016
12051,64.56909355407257
12052,64.80895296905788
12053,66.53764462546302
12054,78.44616784804454
12055,76.6767511148371
12056,78.69143814500373
12087,1.8116767390874675
12088,0.0
12089,1.7638702274616107
12090,0.9047111885104075
12091,2.718754212168299
12902,0.0
12933,21.278651030727172
12934,19.246554355355073
12935,19.207141869908074
12936,17.176818648844808
12937,19.22829368528487
12938,19.152550371830255
12939,21.192252224876984
12940,35.13410037039945
12941,33.07998993508618
12947,49.336017141468375
12949,50.995542290686075
12951,52.73119843989773
12953,49.76732626330686
12955,63.85174511252825
12956,62.04664226149277
12957,63.723915171485444
12958,63.57054500010597
12959,65.37587061670307
12960,66.95632775825673
12961,67.11561211466662
13324,13.53236852875177
13325,11.724309875276376
13326,11.545777146101125
13327,9.582381730759186
13328,11.38497938035254
13332,47.34660897325093
13333,47.27606925076451
13334,45.294770240381844
13335,43.25479435783999
13336,43.33611510068391
14453,65.55988727726779
14490,1.7984965957575312
14491,3.590421445310521
15308,0.0
15309,1.0225939152193246
15310,6.10010422871316
15311,5.089477651215297
15312,7.126181569297584
