,Subject_ID,L_eccentricity_real_benson,R_eccentricity_real_benson,L_polarangle_real_benson,R_polarangle_real_benson,L_eccentricity_real_simulated,R_eccentricity_real_simulated,L_polarangle_real_simulated,R_polarangle_real_simulated,L_eccentricity_cross1_benson,R_eccentricity_cross1_benson,L_polarangle_cross1_benson,R_polarangle_cross1_benson,L_eccentricity_cross2_benson,R_eccentricity_cross2_benson,L_polarangle_cross2_benson,R_polarangle_cross2_benson,L_eccentricity_real_cross1,R_eccentricity_real_cross1,L_polarangle_real_cross1,R_polarangle_real_cross1,L_eccentricity_real_cross2,R_eccentricity_real_cross2,L_polarangle_real_cross2,R_polarangle_real_cross2
0,,609.097448057814,398.1141659852821,6303.710930442638,5579.766148814391,1046.178071364047,1364.5711365494685,7904.186088527552,8836.955028618153,488.2322154471545,445.49356091578085,6185.634598012647,5928.591169255928,644.3274616079494,551.034035159444,6832.784552845528,5255.340964840556,352.40012420957544,247.1017477514309,3271.7664859981933,3624.3327882256744,533.2174796747968,333.3674110793132,3704.79810298103,2990.3795993458707
1,,527.5371057513914,538.3994815668203,4801.997680890538,4709.445161290322,699.6632653061224,994.6494239631336,6533.673469387755,9072.99262672811,645.6298121521336,703.8051843317972,5178.821892393321,4854.413824884793,597.0093923933209,551.1569124423963,5382.2040816326535,5164.253917050692,372.1773538961039,429.45155529953917,3265.1915584415583,3982.016589861751,431.57200834879404,392.1276497695853,5142.265769944342,3463.853917050691
2,,428.1858989021043,514.0257514662757,5680.018298261665,5146.711876832845,421.8055237877402,796.3515395894428,8522.314730100641,7302.391495601173,419.25508920402564,441.2119684750733,6449.9300091491305,6293.023460410557,501.1597666971638,560.0302419354839,5887.597438243367,4661.889296187684,416.6152790484904,249.1346224340176,3932.545288197621,4011.474706744868,319.4102813357731,226.75980571847506,3948.057639524245,3726.568181818182
3,,333.6271282140375,393.2092361111111,4332.029881862404,3596.725,243.1327744961779,538.8760416666667,4492.352675469076,5770.258333333333,380.61097116052815,361.4742361111111,4885.793606671299,4448.213333333333,344.8094814107019,447.6620833333333,3640.712995135511,3623.4411111111112,136.95901016330785,203.50881944444444,2538.389854065323,3335.5222222222224,102.35381558373871,234.55553819444444,2995.1719944405836,3218.6472222222224
4,,301.2305632560484,438.80134397312054,4392.137600806452,5380.297354052919,705.5746597782259,617.8931121377573,7470.491935483871,8049.12557748845,418.45035282258067,465.32386602267957,4443.9737903225805,5557.963040739185,336.24722782258067,478.08588828223435,4755.085685483871,5867.27467450651,183.00702494959677,217.52580323393533,2184.2893145161293,2647.7811843763125,113.4360587827621,203.1165214195716,1857.9984879032259,3386.8490130197397
5,,640.5590608465609,712.4705056179776,5277.903703703703,6074.467824310521,540.968253968254,985.6272982635343,6111.614285714286,8242.320735444331,880.8263227513228,737.1866700715016,5506.602645502646,6000.209397344229,704.2688492063492,754.0750766087845,5858.3936507936505,5472.223697650664,472.8984126984127,402.08331205311543,4020.8431216931217,3939.6394279877427,533.0910383597884,373.28983656792644,4557.501587301587,4005.171348314607
6,,428.7779178674352,365.1226880877743,4889.547550432277,5219.524764890282,516.5426873198847,964.1879310344827,9519.802593659942,6446.937931034483,453.75067543227664,415.0853448275862,4592.708573487032,5339.95987460815,443.63697766570607,543.6324843260188,5096.571325648415,5136.834482758621,150.36742390129683,227.8318181818182,2633.391750720461,2919.2241379310344,177.4496352665706,343.0980407523511,2564.5414265129684,2781.4310344827586
7,,273.86954053109713,341.27927215189874,4207.720125786163,5524.646835443038,806.6856219426974,747.5976265822785,6091.690426275332,7261.725316455696,308.61726939203356,371.87697784810126,4503.904961565339,5269.21835443038,301.3331367924528,359.13037974683544,4201.886093640811,5075.707594936709,165.67713792802238,330.5664161392405,2901.9762403913346,4037.7303797468353,115.8650965234102,294.23261471518987,1386.6975890985325,2261.343512658228
8,,442.8912993572084,895.7523330940417,6002.81634527089,4684.236898779613,1296.682277318641,1139.8198133524766,9263.603305785124,8892.315147164394,564.5960743801653,927.5007178750898,5398.42378328742,5029.24120603015,464.24202249770434,782.5604809763101,5726.427915518824,3918.616295764537,195.94019742883378,324.29554020100505,1934.3356290174472,2984.035534816942,242.6823347107438,364.8649048815506,2248.716712580349,2926.632447954056
9,,367.0221079821718,517.4469080553296,4082.564424635332,4057.7221318144834,431.56422204213936,589.8329434499593,9116.213938411669,5398.633034987795,366.7216369529984,490.7133848657445,4442.5490275526745,3878.099267697315,270.66326478930307,637.0546175752644,4815.468800648298,3998.4662327095198,294.37608893841167,158.5429465012205,2390.0202593192867,2098.199755899105,260.0341369529984,291.88359438567943,3160.7801863857376,2708.4495524816925
