,Subject_ID,L_eccentricity_real_benson,R_eccentricity_real_benson,L_polarangle_real_benson,R_polarangle_real_benson,L_eccentricity_real_simulated,R_eccentricity_real_simulated,L_polarangle_real_simulated,R_polarangle_real_simulated,L_eccentricity_cross1_benson,R_eccentricity_cross1_benson,L_polarangle_cross1_benson,R_polarangle_cross1_benson,L_eccentricity_cross2_benson,R_eccentricity_cross2_benson,L_polarangle_cross2_benson,R_polarangle_cross2_benson,L_eccentricity_real_cross1,R_eccentricity_real_cross1,L_polarangle_real_cross1,R_polarangle_real_cross1,L_eccentricity_real_cross2,R_eccentricity_real_cross2,L_polarangle_real_cross2,R_polarangle_real_cross2
0,,375.39029980178395,614.7564468279325,6663.2244796828545,4675.78639890461,612.0349975222992,1296.6369237790964,7179.255698711596,8420.96211775445,478.1784563924678,681.9641716111365,6708.668979187314,5018.020082154268,395.0406342913776,626.4151643085349,6491.9231912784935,5069.104062072113,321.14383052527256,480.0677772706527,3329.1251238850346,4412.0319488817895,352.3176102576809,481.1646508443633,4357.258671952428,4650.674577818348
1,,749.5934025203854,636.6671110414053,6224.455151964418,5368.885821831869,763.0461452928095,772.7525094102886,9151.052631578947,7391.099121706399,557.2834507042254,622.942205144291,5767.435137138621,5423.466750313676,938.5282616753151,680.6967534504391,6054.086360266864,5941.134253450439,328.3005467012602,234.335123902133,2690.786323202372,3161.0931618569634,355.2568800963677,262.32010664993726,3174.910674573758,3151.086574654956
2,,642.3642017495899,322.6189136426275,4886.324767632586,5686.682590721176,594.0635593220339,528.4696256316031,8208.165117550574,6600.161690399633,650.489543466375,320.65594855305466,4803.135046473482,5948.489205328434,783.6686030617824,339.1225884244373,5522.6047020229635,5730.336242535599,535.4586522689995,167.69417489664676,3468.5248769819573,4022.600826825907,377.13921541826136,104.10958314193844,3769.7679059595407,3467.53169499311
3,,580.4790490970655,677.9909021014864,4837.656884875846,5780.848795489493,943.2882336343115,931.2780625320348,7534.243792325056,7513.28088159918,491.8581405191874,684.7701178882625,4437.105248306998,5675.419784725782,538.2573363431151,671.5266529984623,5100.5564334085775,5779.0,255.17681292325057,337.9495130702204,2779.5747742663657,4317.471040492055,364.2312358916478,318.25070476678627,2675.1252821670428,3779.640184520759
4,,555.697390053432,530.7487051792829,3860.4422523633375,3364.0306772908366,1009.3012741471434,652.9543326693228,7448.766954377312,6684.745019920319,559.1089190300041,561.8097111553785,3909.743526510481,3378.916733067729,496.22004726674885,528.7577689243028,3980.008220304151,3716.230278884462,218.79403000411014,191.61650896414343,2063.57501027538,1928.4352589641435,277.9085491163173,369.16655876494025,2526.0871352240033,1945.2711155378486
5,,363.8123620309051,436.7595996732026,4169.885761589404,5619.5424836601305,773.9948261589404,771.0377178649237,7306.923841059603,7917.067538126362,471.8400248344371,479.8476647603486,4984.219094922737,5365.055555555556,294.02680049668874,452.9740604575163,4071.6490066225165,6244.35294117647,183.17642798013244,219.78768382352942,2029.4555739514349,3259.174836601307,216.00051738410596,287.81638071895424,2334.126931567329,3137.0729847494554
6,,726.2086916461916,565.7010328709289,4979.756142506142,6647.78287092883,918.8055896805897,781.3077503015681,7738.435503685504,8490.32267792521,892.8631756756756,624.2523371531967,5429.361179361179,6476.057297949336,612.899953931204,461.25640832328105,4066.90171990172,6186.5108564535585,456.83864404176904,242.23450693606756,2828.139434889435,2722.25,384.67836302211305,232.4433617310012,2801.7321867321866,2668.1351025331724
7,,506.3042355371901,380.5651429422275,8080.665289256199,5305.400238237045,1197.3715564738293,816.7573704586063,10214.535123966942,8727.256700416914,527.9060778236915,434.91270845741514,8230.9717630854,5311.172721858249,544.9467114325068,303.0869565217391,6948.205922865014,5459.328171530673,381.1506973140496,181.7310899344848,2773.124655647383,3215.27397260274,417.30802341597797,176.60337254318046,5410.119834710744,2513.9344848123883
8,,441.4794378698225,519.9633959044369,5511.072781065089,5157.98361774744,865.9104289940828,754.0146757679181,8273.650887573964,6442.03686006826,543.5991863905325,568.6998720136519,5873.401183431953,5635.20614334471,444.3565088757396,489.3451365187713,6000.803550295858,5068.194539249147,363.44400887573966,313.72933020477814,3631.310946745562,2694.436348122867,244.65155325443786,247.41806740614334,3791.0852071005916,3203.2191126279863
9,,372.29067919075146,309.3872635135135,6699.452023121387,4712.48,722.171387283237,578.5460810810811,9401.698265895953,7255.929189189189,476.13020231213875,335.63513513513516,5671.676878612717,4701.044324324324,439.868063583815,372.599527027027,7030.0254335260115,5505.522162162162,292.12893786127165,196.99246621621623,4534.554913294798,3470.578918918919,155.60162572254336,170.0810641891892,2435.734104046243,2468.8583783783783
10,,600.3424222797928,490.7558018172888,6428.045077720208,5081.90373280943,1289.9829015544042,560.097126719057,7514.008290155441,7511.210216110019,598.9743523316063,414.26577848722985,5981.039378238342,4777.0672888015715,761.3028497409326,561.5244351669941,6426.781347150259,4737.1502946954815,368.4913860103627,220.20729985265226,3261.952849740933,2646.8553536345776,310.23316062176167,199.6373710707269,2639.195336787565,2204.65594302554
11,,443.7612012987013,626.5601979742173,4806.1733766233765,3596.5377532228363,770.5883116883117,1053.6251534683854,6643.763636363637,7232.26642111725,383.4348214285714,697.096992019644,4473.564935064935,3298.6516267648863,503.34123376623376,448.6207028852057,6048.04025974026,4527.543891958257,204.39853896103895,186.50063305709023,2200.9172077922076,1337.6210865561695,206.2780844155844,332.69321669736036,2625.0344155844155,3675.841927562922
12,,315.17055358295676,388.7646252962085,4675.33440929632,4899.536433649289,785.7721110393802,645.8548578199052,7616.535183989671,7244.004146919431,409.00282440284053,459.60619075829385,4989.805681084571,5217.555687203791,281.77106197546806,495.0279917061611,4823.980955455132,4993.003554502369,149.36493302130407,329.9837085308057,1918.3770174306003,3782.7852488151657,176.77424951581665,324.6561018957346,3038.9396384764364,2823.5438388625594
13,,403.79075330549756,535.9872596153846,5663.64509394572,6626.738461538462,534.4290622825331,769.2039148351648,6258.073764787752,7811.275824175824,530.6979819067502,579.7166895604396,5896.625608907446,6449.289560439561,324.9022703549061,525.4160370879121,5898.377870563674,6842.866483516484,147.39054888656923,144.09962225274725,2551.428670842032,3417.838186813187,148.18950069589422,159.08959478021978,2006.616736256089,3892.376098901099
14,,425.1540497617787,644.6659451659451,6416.155637903653,6561.308321308321,566.3572657490736,799.4042207792207,8331.060878771837,7208.765752765753,477.92985706723135,610.5792448292449,6429.883536262573,6379.738335738336,457.51518660667017,668.5419672919672,6243.686606670196,6733.700817700817,178.28007543673903,327.2267316017316,3219.1349920592907,2780.0786435786436,227.4029413710958,253.0604858104858,3271.3573319216516,3138.4689754689753
15,,476.1782536636427,372.77973460026215,5887.501744591766,5762.196592398427,706.0359385903698,678.2348460026212,6705.1123517097,8905.003931847968,525.583653175157,491.35296526867626,5182.069783670621,5844.881389252949,454.91756803907884,444.586746395806,5869.545010467551,5623.513106159895,326.1985127355199,284.79904570773266,3840.473831123517,3812.853866317169,196.3711182833217,229.4216497378768,2451.386601535241,3073.330275229358
16,,543.6053801059002,631.467936802974,5607.775340393344,4162.58302354399,581.3899394856278,779.5261771995043,7036.669440242057,6134.3091697645605,650.0161686838125,603.7580545229245,5848.773827534039,3740.0461586121437,454.88284795763997,681.3679522924411,5005.650529500756,4884.741945477075,147.8640435892587,143.9860691604709,2452.9663388804843,2187.026177199504,203.58174167927382,176.26705777571252,2520.371406959153,2765.545229244114
17,,286.15729327170004,398.28293445450623,3960.8882896764253,3524.125053902544,901.60927067283,654.5626886589047,9467.91063174114,8437.419577404053,360.54866461222394,392.0761912462268,3925.6135079609658,3761.5084087968953,353.8049884437596,470.3192108667529,4184.776836158192,3285.389823199655,166.24479969183358,146.3501105002156,2829.1746276322547,1891.2658473479948,151.86315485362096,213.76005282449333,3224.6543400102723,2324.9551530832255
18,,536.7705987717502,454.65961134453784,5208.438075742068,6782.947899159664,473.2168308597748,561.6811974789916,7179.74462640737,8862.143697478992,522.0600371033777,406.1030199579832,4838.965199590583,5641.900420168067,477.9566594165814,471.7828256302521,5222.4559877175025,7021.32731092437,162.00468590071648,153.33668592436976,2641.1194984646877,3884.3865546218485,138.60718398157624,128.73329831932773,2716.832395087001,3592.2626050420167
19,,486.8694209039548,368.2096604938272,3534.302824858757,4895.448888888889,1179.989406779661,1047.6701234567902,7268.900564971751,7559.058765432099,383.3552966101695,392.5247839506173,4215.234745762712,5037.014320987654,488.6382415254237,429.835,3949.6867231638416,4527.494814814815,302.0959745762712,355.20166666666665,3056.8847457627116,3746.720987654321,146.040625,161.9062962962963,1831.268079096045,2789.7397530864196
20,,321.2958683473389,339.13854166666664,5301.905882352941,5353.594285714285,983.1030112044818,728.4260714285714,7428.79943977591,9617.773333333333,298.87542016806725,338.35583333333335,5373.257142857143,5712.176190476191,417.346918767507,388.12958333333336,5657.46162464986,4197.480952380953,126.29931722689075,126.43796130952381,2332.1453781512605,2287.7835714285716,356.2299719887955,208.69011904761905,4909.760224089636,4233.650476190476
21,,268.8265684612124,334.37997762863534,6583.356506994489,4864.815212527964,580.5576515472658,671.1967561521253,8868.240779991522,8619.739597315436,236.62123781263247,413.87913870246086,5883.518863925392,4758.214317673378,489.34315387876217,326.5848713646532,6280.627808393387,5689.781655480984,129.1198733573548,221.2390100671141,1913.4378974141584,3078.9044742729307,308.7471651123357,264.1332214765101,3848.45485375159,4589.47293064877
22,,877.9400167785235,528.8257330378452,5429.126845637584,5099.09103307194,1320.418624161074,756.5618820320491,7477.1308724832215,8060.659393112854,834.6494966442953,587.3507074667576,5590.811409395973,5112.717354244801,915.0370805369128,558.7840095465393,5925.178523489933,4847.916126832594,629.5875,418.7425843845892,4460.826845637584,3883.6658711217183,437.4113255033557,376.9923286737129,3065.920134228188,2733.81997954313
23,,442.3363636363636,318.1323275862069,6301.093048128342,4420.462068965518,710.4885026737968,662.5503315649868,9199.071657754012,6517.160212201591,436.5925802139037,362.2516909814324,6234.500534759359,4593.048806366048,485.2606617647059,309.5763925729443,5671.0770053475935,4658.736339522547,186.6497159090909,155.23290782493368,2813.94064171123,2000.5397877984085,165.29079211229947,138.6856929708223,2418.9299465240642,2303.6355437665784
24,,309.6154418011895,343.38757731958765,3359.607476635514,4917.410309278351,653.3116503823279,561.4273711340206,8616.324553950722,7723.673402061856,329.26271771452843,362.5782989690722,3305.980246389125,5361.488659793815,305.30448173322003,402.5337886597938,3865.8322005097707,4555.28412371134,110.67999946898895,186.2665206185567,2630.529736618522,2570.139175257732,101.64780692438403,264.93190721649484,1856.4725998300764,2777.0540206185565
25,,512.9842463584547,577.5457110609481,4454.526599113363,5622.292325056434,762.5580272324256,766.4748871331828,8657.028499050031,7440.406320541761,554.4426060797973,621.8280897291196,4834.722609246359,5576.147291196388,456.77454084863837,537.1864066027088,4845.271057631412,5317.6168171557565,236.30561272957567,185.2410059255079,1416.705193160228,2712.1306433408577,224.17879195693476,180.38542254514672,1988.8516466117796,2213.5198927765236
26,,469.4760806536637,449.1310501776199,4664.119662625198,4233.2824156305505,929.1175540326832,764.4887322380107,7947.2345809172375,9192.802841918296,524.9190827622562,504.97291296625224,4246.278597785978,4393.446714031971,416.9393779652082,443.76595803730015,5582.515023721666,4606.666962699823,251.86648326304692,199.7990119893428,1953.7814971006853,2750.6489786856127,166.47672311544545,213.62930173179396,2685.3500263574065,2293.1842806394316
27,,683.5799022511849,1040.396654636313,4687.619964454976,4860.616879511383,1119.483116113744,1363.5814825097168,9303.859597156397,8143.863964464186,772.7014218009479,907.6762909494726,5275.597748815166,4717.128817323709,750.247037914692,1022.3267629094947,5251.435426540284,5314.766240977235,343.98526362559244,365.4360771793448,3441.358412322275,3031.2362576346472,521.8431575829384,395.2064131038312,2892.8684834123223,3144.751804553026
28,,465.63292824074074,426.7351150202977,4345.5782407407405,4975.9043752819125,713.9116898148148,970.2098556608029,6316.190277777778,6805.823184483536,489.62858796296297,531.7814614343707,4684.377314814815,4833.48398737032,575.1229166666667,437.5307848443843,4755.434722222222,4918.723049165539,383.17604166666666,383.4879341452413,3699.7944444444443,4953.335137573297,207.11047453703705,137.82866768155165,2208.1185185185186,2168.816869643663
