,Subject_ID,L_eccentricity_real_benson,R_eccentricity_real_benson,L_polarangle_real_benson,R_polarangle_real_benson,L_eccentricity_real_simulated,R_eccentricity_real_simulated,L_polarangle_real_simulated,R_polarangle_real_simulated,L_eccentricity_cross1_benson,R_eccentricity_cross1_benson,L_polarangle_cross1_benson,R_polarangle_cross1_benson,L_eccentricity_cross2_benson,R_eccentricity_cross2_benson,L_polarangle_cross2_benson,R_polarangle_cross2_benson,L_eccentricity_real_cross1,R_eccentricity_real_cross1,L_polarangle_real_cross1,R_polarangle_real_cross1,L_eccentricity_real_cross2,R_eccentricity_real_cross2,L_polarangle_real_cross2,R_polarangle_real_cross2
0,,378.74600555748526,537.487217229625,4142.0434178534215,3874.1307716145025,1016.1111497047586,1336.9951967771924,6682.192427926363,7665.81468856523,424.90131121917335,569.4490238611713,4442.088919763807,4672.421444065696,395.0698593261549,615.0962193988224,3809.22195206669,3908.731949178804,246.64034821118443,361.6286024171057,2831.262243834665,3448.451812829253,303.3364232372351,510.99271769445306,3200.835012156999,3829.2881933684534
1,,421.3283406524467,469.10490797546015,3907.0673358427434,4581.765235173824,1235.57747804266,926.581390593047,10756.811375993308,8323.415132924336,399.22762442492683,470.4105316973415,4027.659556670849,4294.093660531697,566.5450648264325,533.7891615541922,4041.270598076119,4738.639672801636,331.6288686741949,211.79460633946832,2326.817858636554,2292.389161554192,270.5637808448348,215.83847137014314,3218.7231283981596,2367.931288343558
2,,310.0269508913555,198.21645796064402,2912.9461823074334,2768.8601073345258,756.025563403969,780.0453488372093,9161.158425832493,8768.223255813953,391.74121257988566,184.11574239713775,2903.516649848638,2974.5558139534883,452.14122939791457,237.44575134168159,3110.217288933737,3402.269409660107,242.37201479986547,156.30185599284437,2105.826269761184,2059.5527728085867,219.16620417087117,118.5377236135957,1761.9044735956945,2043.3059033989266
3,,377.26938637896154,368.69404801880455,3590.515846257586,4411.2585627938215,790.6056979096426,665.8928391537945,9026.572488199596,8285.784419073203,368.0432400539447,399.8275268636669,3570.4902225219153,4100.743451981195,373.2453641267701,430.12932337139017,3534.6675657451115,4967.96877098724,118.31486008091706,266.19087894560107,1339.1099966284557,3147.362995298858,207.2768248482805,248.88922934855609,2207.469656102495,2991.6289456010745
4,,291.70438257993385,308.45312058740467,2949.8665931642777,2786.418525840158,1023.5304575523704,905.8645862750635,7061.793274531422,7147.369669584863,305.6257579933848,347.91153628918386,3001.4933847850057,2745.7328438294267,317.15924751929435,366.89985173679753,3421.688533627343,2800.558034453544,195.387644707828,185.9030641061847,1888.8082965821388,1762.6640779440836,263.47865559536933,197.3059164077944,2013.6631753031972,2178.0950296526403
5,,181.5135687108326,232.5897894521668,2358.8314682184423,3255.6332788225673,1040.6504028648164,1028.7645134914146,9774.153983885408,10820.014717906786,186.76418419874665,235.27933360588716,2441.443598925694,3526.7759607522485,135.6733577663384,194.01510118560915,2852.8057296329453,3356.2134096484056,73.93696844225605,125.73179425592805,1173.5778871978514,1641.5470155355683,143.22752070277528,163.8243560915781,1502.8228513876454,2170.3990188062144
6,,470.47099689078897,248.7762030623405,2990.9871745044693,4484.173168064163,1033.763505635445,732.9468191760845,10250.509133307423,9561.57345971564,577.4681305868636,301.2937477214728,3573.071900505247,4883.434925264309,404.2741935483871,231.406990521327,3166.3777691410805,4067.4104994531535,274.3339972794403,175.90769686474664,1950.8495919160514,2395.7683193583666,268.86746987951807,164.97625774699233,2181.293237465993,3025.230040102078
7,,295.77280793319414,170.57889168885507,3196.0734864300625,2903.5028527957397,859.9369519832985,863.26074553062,7431.669311064718,8850.562190947128,273.34749478079334,147.43155667554203,3792.65636743215,3434.5233929250667,352.564248434238,186.83005658044883,3128.549478079332,2713.7637885127424,210.73365083507306,135.6578309243058,1825.3780793319415,2666.0349942944085,256.83246346555325,102.25235355648536,3356.139457202505,1768.787751996957
8,,217.11189516129033,338.2258587352138,3963.108504398827,3267.592584167425,1428.0777126099706,705.6646383075523,9868.010054461667,7290.8703366697,290.76403435274403,366.9561533212011,4520.734813573523,4089.6451319381254,342.1226434855467,357.8240730209281,4428.1390867197315,3371.660145586897,215.994737117721,208.4489166287534,3108.215542521994,2623.316651501365,234.861306032677,157.7356119199272,3350.661499790532,2296.769335759782
9,,293.3517682468021,226.78514474975466,4454.583145221972,2644.2986588158324,1093.1927200902935,1053.2296368989205,8496.368698269376,9173.528295714754,315.4456358164033,228.82789499509323,4242.191121143717,2506.490350016356,373.4058032355154,262.74709682695453,4958.89164785553,2857.3120706575073,213.36566497366442,146.17330103042198,3779.405568096313,2436.946025515211,167.5111220842739,151.59556959437356,2414.0419488337097,1667.923781485116
10,,252.38546148881238,330.8984043681086,3202.222461273666,3043.960559796438,1606.0759466437178,993.5663698049194,9665.327022375215,8674.079728583545,314.04510004302927,321.247826547922,3398.8182013769365,3393.8748939779475,323.4452990533563,401.2333545377439,3392.1964285714284,3164.71967769296,214.92674268502583,224.03904262086513,2354.383605851979,3022.3420271416453,149.47523128227195,189.20971162001698,2390.1385542168673,2225.1624257845633
11,,355.20149128686325,553.6649335334477,3851.225201072386,4272.8987993138935,742.270218945487,1149.0646440823327,7404.022341376229,8689.91166380789,389.1781166219839,632.1706689536878,3917.105004468275,4652.284734133791,413.89116957104557,347.4419489708405,4010.620196604111,3774.457118353345,169.07989834673816,230.80789022298455,1963.4088471849866,1697.641295025729,240.53055183199285,314.3692645797599,2458.010947274352,3215.435677530017
12,,203.42951861489192,237.68054824561403,2841.8146517213772,3135.8540350877192,611.7806244995996,494.36258771929823,9007.356285028023,8134.374736842105,245.6773418734988,312.5129824561404,2681.298638911129,3242.6091228070177,190.4064626701361,262.0993859649123,2995.464971977582,3557.4512280701756,96.62241042834268,114.13537280701755,2059.2301841473177,1684.1828070175438,95.22755704563652,128.5588706140351,2164.0206164931947,1822.5854385964913
13,,328.65668385561287,468.52452718676125,4547.810789369298,4299.50512214342,603.9172451408172,574.5393026004729,8695.428798095994,8297.7304964539,406.2882784609282,488.0017730496454,4540.154700515668,3799.1591804570526,280.0267007140024,532.9645390070922,4614.187227290758,4675.888888888889,149.41951358587863,235.92925039401104,2171.0023800079334,2815.6763199369584,130.31143395477986,176.32306442080377,1609.1660055533519,3595.8841607565014
14,,421.56328751431846,589.3528966300644,4107.132111492936,3705.934873154108,415.5765559373807,1070.4849488829989,9289.431080565102,8641.326770162817,418.4157598319969,586.854505868989,4444.0920198549065,3637.8640666414235,399.8447642229859,568.1570901173798,4205.717449408171,3962.5327527451723,164.85893948071782,309.8173040514956,2788.134784268805,3001.870314274896,155.89122756777397,229.1984570238546,3227.077128675067,2495.389814464218
