,Subject_ID,L_eccentricity_real_benson,R_eccentricity_real_benson,L_polarangle_real_benson,R_polarangle_real_benson,L_eccentricity_real_simulated,R_eccentricity_real_simulated,L_polarangle_real_simulated,R_polarangle_real_simulated,L_eccentricity_cross1_benson,R_eccentricity_cross1_benson,L_polarangle_cross1_benson,R_polarangle_cross1_benson,L_eccentricity_cross2_benson,R_eccentricity_cross2_benson,L_polarangle_cross2_benson,R_polarangle_cross2_benson,L_eccentricity_real_cross1,R_eccentricity_real_cross1,L_polarangle_real_cross1,R_polarangle_real_cross1,L_eccentricity_real_cross2,R_eccentricity_real_cross2,L_polarangle_real_cross2,R_polarangle_real_cross2
0,,75.45838306568287,238.1644330533597,2343.7864583333335,3425.6600790513835,288.8826497395833,834.573493083004,5931.388310185185,12179.831027667984,100.56960720486111,269.5783720355731,2353.0769675925926,3607.348320158103,74.48021104600694,193.18255928853756,2202.9137731481483,3368.852519762846,36.249412254050924,30.729059875247035,760.7418981481482,1922.9520750988142,31.946361400462962,120.65838840167984,664.402488425926,2279.2989130434785
1,,136.37906901041666,185.82242774209487,2855.4033564814813,2387.6566205533595,604.309714988426,1203.4666501976285,10828.418981481482,10386.219367588932,176.61259403935185,150.69731966403162,3662.2135416666665,2741.0918972332015,160.40359157986111,221.36592144268775,3143.7575231481483,1983.7025691699605,54.951253255208336,81.19016335227273,1910.931712962963,1334.8573369565217,58.323893229166664,58.32870012969368,1217.9797453703704,1461.3055830039525
2,,122.66073495370371,143.17632164031622,3811.8269675925926,4236.510869565217,347.1686921296296,528.0445281620554,5197.013888888889,4810.57756916996,201.39424189814815,251.74916625494072,3487.632233796296,3130.4105731225295,119.42277922453704,167.82287549407116,4241.741898148148,5869.231719367589,79.36361581307871,224.6490396492095,1953.5594618055557,2295.0437252964425,60.37287507233796,43.88431787302372,2651.2077546296296,1974.1686017786562
3,,163.83913845486111,178.97001605731225,2513.4791666666665,2115.5820158102765,494.7748119212963,1626.6316699604743,9300.800347222223,7012.559782608696,168.08959056712962,239.2379878952569,2790.607060185185,2283.142786561265,143.3428638599537,201.26831151185772,2433.537037037037,1924.7732213438735,90.84398509837963,123.73357213438736,1078.5421006944443,1085.7151679841897,268.9132306134259,265.9312623517786,2131.622974537037,1779.969614624506
4,,138.39185474537038,226.61400691699606,3908.000578703704,3677.306571146245,105.53700086805556,1268.026432806324,7111.888888888889,15939.770750988142,145.02123119212962,227.71220355731225,4116.597511574074,3769.0617588932805,171.08808955439815,262.24558423913044,3545.7783564814813,3085.1924407114625,18.887306495949073,27.959559504693676,867.4660011574074,2274.0232213438735,18.845722339771413,33.81006438364624,817.9026331018518,2629.3656126482215
5,,335.6578052662037,877.828125,2558.8310185185187,5487.364624505929,713.0306712962963,1719.3957509881423,5768.972222222223,17099.551383399208,354.5743634259259,911.6348814229249,2562.095196759259,5179.829545454545,266.7393482349537,825.7036808300395,4157.28443287037,5674.228260869565,86.8816550925926,93.7505789896245,939.3680555555555,574.6185770750989,176.71947337962962,154.5860918972332,1290.5570023148148,541.1279644268775
6,,76.30064561631944,204.05042613636363,4169.22974537037,5259.426877470356,546.7720992476852,924.9412055335969,9020.016203703704,7184.053359683794,81.77211733217592,201.23142601284584,3513.3721064814813,3865.7050395256915,120.10197844328704,240.50486351284584,4083.939525462963,5550.96837944664,53.16554542824074,105.09552556818181,1195.8661747685185,2052.1786067193675,51.88026258680556,77.32397171442688,1066.0775462962963,1212.7191205533597
7,,103.28752531828704,180.39819046442688,3323.3330439814813,2681.74209486166,258.90928819444446,1125.8104001976285,7578.780092592592,10164.108695652174,125.259033203125,236.4968502964427,3236.837384259259,2667.915513833992,126.48621961805556,202.2137784090909,3120.1359953703704,2614.675148221344,68.62400987413194,69.8300395256917,1218.9068287037037,1809.2385128458498,48.481142397280095,55.42946362401186,1476.4658564814815,662.5836833003953
8,,95.48395905671296,443.6644330533597,2439.840277777778,4739.497035573123,409.7590060763889,940.4218132411067,5065.045138888889,8537.770750988142,98.7529296875,293.1734807312253,3931.519097222222,4895.153162055336,127.88268590856481,580.8007040513834,2732.3660300925926,4644.54743083004,94.39195421006944,650.5442193675889,2269.7685185185187,3610.691205533597,59.63324652777778,225.56940155632412,1119.9554398148148,1929.970726284585
9,,110.02945059317129,271.4404953063241,3398.5925925925926,4215.068181818182,464.7183521412037,1258.5941205533597,8437.879050925925,8383.286561264822,321.6421802662037,462.0271121541502,3327.517650462963,5163.949110671937,76.75918692129629,219.08499567687747,2928.5358796296296,3600.75,205.2044994212963,281.9111289525692,2656.347800925926,3723.556818181818,57.990152994791664,130.67974925889328,1547.6646412037037,1919.2690217391305
