Group,MeanROI_diff
2nd,-0.013448661677260963
2nd,0.09980782009915953
2nd,0.08522419758882249
2nd,0.026107940234366682
2nd,0.22233073120595617
2nd,0.062163536294851274
2nd,0.18212765015410015
2nd,0.0646248480901654
2nd,0.09260794942754944
2nd,0.07363992444177414
2nd,0.08366459058286413
2nd,1.4195667552859275
2nd,0.03689119210865006
2nd,0.07795509896581337
2nd,0.08953536065045833
2nd,0.04554010503069648
2nd,0.025176436395907054
2nd,0.028085749598800627
2nd,0.03827152342952808
2nd,0.017481715101883344
2nd,0.03421009399005742
2nd,0.07903143286876735
2nd,0.023517017891223898
2nd,0.03850384988337713
2nd,0.04023130534746103
2nd,0.02364427714805011
2nd,0.06738539349561871
2nd,0.06175321394352687
2nd,0.33522156550229265
2nd,-0.009860621965690453
2nd,0.10174958177527776
2nd,0.021921716593723453
2nd,0.12453664218885763
2nd,0.0732299007175449
2nd,0.038872938402013224
2nd,0.024626685885331512
2nd,0.07301902091226543
2nd,0.09449239423537921
2nd,0.0719427229168776
2nd,-0.020984255895380263
2nd,-0.01690954178214539
2nd,0.03996153951849206
2nd,0.08181131818859752
2nd,0.06896903995945258
2nd,0.06637167244978052
2nd,0.1775197464695908
2nd,0.162208877680656
2nd,0.04062100189147498
2nd,0.0033042825566248057
2nd,0.011140269700734722
2nd,0.025168006626045087
2nd,0.0996792743307849
2nd,0.03857201215543685
2nd,0.02624844625242986
2nd,0.03361713510177131
2nd,0.050842689169920116
2nd,0.037802207005816935
2nd,0.05897188551732463
2nd,0.02444635237977774
2nd,0.025130266751103678
2nd,0.027057493260805966
2nd,0.02324353627683151
2nd,0.006631150783709523
2nd,0.16332360352507316
2nd,0.0834569781609822
2nd,0.10442464013681715
2nd,0.036269124323545725
2nd,0.11926780637343505
2nd,0.05852771858086011
2nd,0.08896842419673466
2nd,0.1420354598440687
2nd,0.08174723358071993
2nd,0.03217401739573845
2nd,0.027299424665957653
2nd,0.060574170175996034
2nd,0.11800842974403603
2nd,0.07227004573225726
2nd,0.02464748058131495
2nd,0.057598555100025886
2nd,0.014816918024301694
2nd,0.25355530706527296
2nd,0.10632631207474116
2nd,0.04348790011178588
2nd,0.08227591790790216
2nd,0.025342341974387866
2nd,0.045683976655898545
2nd,0.17496590334965495
2nd,0.08194986237572449
2nd,0.05813114513361381
2nd,0.06431314931585991
2nd,0.2560695077241047
2nd,0.045412485465400804
2nd,0.04223307119246725
2nd,0.061598643406939935
2nd,0.04168240741084985
2nd,0.0519187254217344
2nd,0.09350068655187019
2nd,0.09071146956681864
2nd,0.09661353138524936
2nd,0.0023101760447710104
2nd,0.14434042180694784
2nd,0.08281039706276214
2nd,0.03286850527825483
2nd,0.10451191509060685
2nd,0.0360993500779061
2nd,0.016735831480387046
2nd,0.06571695225860737
2nd,0.05023713185996644
2nd,0.06856411217852834
3rd,0.03472601275665344
3rd,0.01881534111309993
3rd,0.01827205182040105
3rd,0.0999558092013739
3rd,0.08150186013085897
3rd,0.10718988865556844
3rd,0.02065176288885523
3rd,1.6899624612582744
3rd,0.03933079039336448
3rd,0.045645343392883425
3rd,0.011590678712624203
3rd,0.047090001379433304
3rd,0.1405400514366822
3rd,0.08141161153304978
3rd,0.027897292338835835
3rd,0.01990247218031469
3rd,0.09302945405128654
3rd,0.039479023750755
3rd,0.026709782418875352
3rd,0.12080584240032527
3rd,0.1989359010191601
3rd,0.05100356361663823
3rd,0.07521151278926504
3rd,0.05267008311375754
3rd,0.04746790820024975
3rd,0.009696038138120274
3rd,0.09688863655117216
3rd,0.5899402850667339
3rd,0.05763330817913072
3rd,0.1353808800119069
3rd,0.06490600542837091
3rd,0.21264901737104985
3rd,0.09923463369479421
3rd,0.32593819210135894
3rd,0.018528809119583392
3rd,0.031221883451115224
3rd,0.13196664624192853
3rd,0.17597666905671305
3rd,0.04752865553818011
3rd,0.9961799527970794
3rd,1.4083034711003921
3rd,0.06733130267353196
3rd,0.36034311806992986
3rd,-0.0062770669967713915
3rd,0.09652895573347978
3rd,0.060234417823161523
3rd,0.01635435419467588
3rd,0.07645992749038508
3rd,0.06406834726202364
3rd,0.028701379696135294
3rd,0.016945892076268707
3rd,0.04716660176398298
3rd,0.0569538096977302
3rd,0.03501101714431037
3rd,0.07836418538567333
3rd,0.03739122020436616
3rd,0.07637002910453336
3rd,0.10399704127487176
3rd,0.03852205642078644
3rd,0.1495328570021051
3rd,0.011470371181427798
3rd,0.03910109413664031
3rd,0.12183752602059653
3rd,0.027999550685333677
3rd,0.076379553812899
3rd,0.012183573140853485
3rd,0.17648368849588744
3rd,0.034503826895391845
3rd,0.11091042183998102
3rd,0.1322619202204493
3rd,0.07109627859314721
3rd,0.0403721664751506
3rd,0.03447686689034744
3rd,0.10696290181671302
