,Subject_ID,L_eccentricity_real_benson,R_eccentricity_real_benson,L_polarangle_real_benson,R_polarangle_real_benson,L_eccentricity_real_simulated,R_eccentricity_real_simulated,L_polarangle_real_simulated,R_polarangle_real_simulated
0,CC00063AN06,609.097448057814,398.1141659852821,6303.710930442638,5579.766148814391,705.8937443541103,408.8699662714636,7222.554652213189,5453.779231398201
1,CC00063BN06,527.5371057513914,538.3994815668203,4801.997680890538,4709.445161290322,899.1949211502783,1059.53767281106,8801.603896103896,11533.054377880184
2,CC00087AN14,409.6441255364807,432.7752883416459,6841.224892703863,6166.6957605985035,777.7471566523606,477.954371882793,7331.132188841202,7519.745635910224
3,CC00087BN14,428.1858989021043,514.0257514662757,5680.018298261665,5146.711876832845,461.32902561756634,731.8450788123167,7497.200365965234,7269.91862170088
4,CC00098AN17,283.43389170748776,289.8066442486085,5003.42967109867,3354.105442176871,234.26836948915326,514.0264378478664,9388.677396780966,7145.450834879406
5,CC00098BN17,490.25453107019564,460.9354570990807,4900.4349827387805,4498.956588355465,557.8272079976985,566.3716802860062,7908.486191024166,7590.798263534219
6,CC00121XX06,333.6271282140375,393.2092361111111,4332.029881862404,3596.725,636.4651667824878,406.31090277777776,5032.185198054204,7959.315
7,CC00124XX09,719.1346914556962,738.4914203406813,5032.940928270043,4457.856713426853,833.1772811181435,1094.2888276553106,7568.680907172996,7085.157815631263
8,CC00129AN14,1311.7505074424898,500.61972848064704,4323.630581867388,6050.580011554015,1263.4216847090663,564.4355502599653,5986.027063599458,8533.894280762564
9,CC00132XX09,472.11285525446135,427.4730223880597,5787.210839391936,5392.061492537314,768.0836087243887,1059.810671641791,6520.539986781229,7953.363582089552
10,CC00136AN13,301.2305632560484,438.80134397312054,4392.137600806452,5380.297354052919,533.0905997983871,556.7186056278874,5822.432963709677,8185.595968080638
11,CC00136BN13,447.360567860509,591.5369147659063,5534.6870876531575,4880.174069627851,1035.61027332705,797.3474889955983,8147.758718190386,8221.51100440176
12,CC00147XX16,632.1934850863422,580.5744137670197,4770.565541601256,4512.8751891074135,477.45677982731553,518.2852685325265,8000.810047095762,6733.4863842662635
13,CC00152AN04,553.731554814506,456.91424485125856,5877.887453105461,4966.113958810069,860.4809295539808,368.3475114416476,7644.59941642351,8854.572082379862
14,CC00154XX06,679.6353683294664,610.4325209643606,5245.42807424594,4844.4669811320755,812.1821345707657,513.3266837002096,4614.009570765661,7389.299790356394
15,CC00161XX05,441.25716845878134,425.0585146007151,6371.268817204301,4011.268474374255,775.0486857825567,745.4259535160905,6783.536439665472,7300.9547079856975
16,CC00177XX13,640.5590608465609,712.4705056179776,5277.903703703703,6074.467824310521,535.5508928571429,1096.487359550562,7648.080423280423,6237.979570990807
17,CC00191XX11,489.27135051268215,361.1108477412158,5283.0777118186725,4509.0147796988285,863.8634646519158,362.2092512548801,9828.900161899623,8256.882877858337
18,CC00216AN10,428.7779178674352,365.1226880877743,4889.547550432277,5219.524764890282,404.01395893371756,668.5130094043888,8027.859510086455,5296.156739811912
19,CC00216BN10,499.8695221752904,398.07955194063925,5742.398099260824,4935.785388127854,1317.1045406546991,540.6928510273973,7111.299366420275,7547.1107305936075
20,CC00218BN12,728.8277801358234,1379.2847650231124,5704.6960950764005,7658.250385208013,1095.21201188455,1385.9583975346686,8127.029711375212,6704.615562403698
21,CC00227XX13,609.1499675745785,508.1435515873016,6343.616083009079,5111.753439153439,736.0392347600518,515.2648478835979,5406.757782101167,7209.781481481482
22,CC00237XX15,273.86954053109713,341.27927215189874,4207.720125786163,5524.646835443038,689.51214185884,706.596914556962,7711.014675052411,7306.037974683544
23,CC00238AN16,587.5346467391304,455.29634763741564,5006.656702898551,4546.895853423336,873.1616281702899,648.0722637415622,7755.913043478261,8322.800385728062
24,CC00238BN16,463.4796460176991,473.91034165302784,6081.465486725664,5052.448445171849,1105.8570796460176,977.7924509001637,7111.757079646018,8504.888707037644
25,CC00245AN15,442.8912993572084,895.7523330940417,6002.81634527089,4684.236898779613,1025.4329660238752,1107.2212849964105,6953.277318640955,8098.7020818377605
26,CC00245BN15,367.0221079821718,517.4469080553296,4082.564424635332,4057.7221318144834,408.8110311993517,734.404495524817,6488.9509724473255,9097.811228641172
27,CC00271XX08,474.2000119731801,480.3777374507874,4959.204980842912,4559.546259842519,1057.973898467433,744.875061515748,9244.917624521073,9294.169291338583
28,CC00281AN10,365.3569397993311,446.28586125808346,3844.0334448160534,3664.9174015285125,774.7874581939799,756.5287330981776,5476.865551839465,6838.712522045856
29,CC00281BN10,309.4672870299309,406.16199348769896,4706.28165771297,3474.917510853835,680.4858019953953,414.35713639652676,5742.733691481198,8225.816931982634
30,CC00284AN13,295.0606069858329,234.94720069631626,3822.351734245237,4237.303683737646,990.3520395701025,517.9853436657681,10430.422081094284,8747.548068283917
31,CC00284BN13,370.65485152655793,551.463190184049,5787.033877038896,5205.368865030675,860.4761606022585,906.2616947852761,6201.433709744877,8605.598159509202
32,CC00287AN16,659.7538950573066,508.9410609037328,5667.500716332378,4511.732481990832,855.2457020057307,451.9179764243615,7713.332378223496,8811.965946299935
33,CC00287BN16,416.95166482707873,327.08354105571846,6952.565121412804,5859.33431085044,544.6003955114054,413.39120234604104,7641.703458425312,8327.433431085045
34,CC00290XX11,350.43665218312844,439.1382985412475,6632.70284018652,6021.561368209255,410.72986434930056,1015.9592555331992,9231.790589232725,7396.6735412474845
35,CC00293AN14,911.5778955954323,476.8651379477251,5327.15823817292,5647.223136495643,723.971044045677,649.3889762826718,8852.699836867863,6076.201355275895
36,CC00293BN14,723.8247259696459,616.6221213463242,5188.629426644182,5395.264836138175,895.20826306914,870.238817537644,6173.630269814503,7752.574844995571
37,CC00301XX04,393.0035629453682,358.9508120649652,5700.955344418052,4972.652436194896,609.9904394299288,560.4549883990719,5939.515914489311,7671.455684454756
38,CC00309BN12,245.9585278720996,317.8853574810606,4646.0220713073,3935.0395359848485,192.44406126202603,301.25221946022725,3830.9513299377477,4892.960227272727
39,CC00326XX13,373.80375355787476,361.3198223733938,4904.853415559773,4832.563114134543,716.4725450664137,313.20474300831444,9791.291271347249,7346.632653061224
40,CC00351XX05,795.5888913427561,633.654845814978,6186.519434628975,3716.5806167400883,935.1466431095406,1414.2756607929516,7935.674911660777,6137.1859030837
41,CC00361XX07,653.0571753515302,996.802217453505,6140.294044665013,5278.906294706724,793.0905190239868,1163.6531652360516,8131.833746898263,7634.250357653791
