,Subject_ID,L_eccentricity_real_benson,R_eccentricity_real_benson,L_polarangle_real_benson,R_polarangle_real_benson,L_eccentricity_real_simulated,R_eccentricity_real_simulated,L_polarangle_real_simulated,R_polarangle_real_simulated
0,CC00056XX07,378.74600555748526,537.487217229625,4142.0434178534215,3874.1307716145025,1047.8624522403613,761.6263557483732,7890.638416116707,6676.046482801364
1,CC00057XX08,324.5972778222578,331.1831349980492,3916.1849479583666,4673.442060085837,669.6508206565252,979.7716543113539,6083.366293034427,5427.379633242294
2,CC00060XX03,421.3283406524467,469.10490797546015,3907.0673358427434,4581.765235173824,1081.616060225847,948.6774028629857,9258.869092429946,8985.552556237219
3,CC00065XX08,186.7875669984686,234.71559384482012,2737.18797856049,3505.3289986996097,1308.625574272588,701.8791720849588,11984.845329249618,8720.995231902903
4,CC00066XX09,310.0269508913555,198.21645796064402,2912.9461823074334,2768.8601073345258,1188.938025563404,1005.1051878354203,9091.870837537841,10883.609302325582
5,CC00067XX10,338.6802795985252,178.84888644918445,3265.1470708725933,3118.3557089084065,1601.2239860712823,527.3257005437056,8717.649324047521,9629.38017565872
6,CC00068XX11,377.26938637896154,368.69404801880455,3590.515846257586,4411.2585627938215,856.3583951449764,632.7291386836803,9809.21308159137,8566.24311618536
7,CC00069XX12,361.46497429305913,339.9590586718246,3299.587403598972,3418.5422308188267,898.7199550128535,841.3289813023856,7552.831619537275,10775.058671824629
8,CC00071XX06,340.3202844580043,251.52278645833334,2531.3519382627424,2283.1050967261904,621.0232412060302,456.36742001488096,8215.787508973439,8975.0625
9,CC00072XX07,238.94121365360303,143.82428556528996,2812.716814159292,3496.6783479349187,460.36346396965865,725.543491864831,10303.326590813316,10734.681685440133
10,CC00073XX08,354.959687389615,365.76656626506025,2907.1610738255035,3856.61124497992,898.2612151183328,904.4475903614458,10018.122218297422,7020.4248995983935
11,CC00074XX09,317.19029642058166,295.72400057937426,5143.722967934377,3595.3955195056005,619.2654735272185,765.4315372730784,9095.23489932886,10046.419466975667
12,CC00075XX10,352.08414256198347,341.691688026364,3838.7070247933884,3920.4774807762724,813.6889462809918,998.8939033321128,7386.501652892562,6386.93738557305
13,CC00078XX13,291.70438257993385,308.45312058740467,2949.8665931642777,2786.418525840158,1302.6207276736493,625.259813611974,8481.76736493936,8627.671844111834
14,CC00079XX14,99.22463019110621,262.87282630932896,2956.305402425579,3142.167348608838,1140.4454244762956,673.6069967266776,12036.947445791988,8254.462356792144
15,CC00080XX07,665.813864628821,332.2023555061559,5530.478165938865,3685.5047879616964,1120.300036390102,838.8702120383037,9094.35807860262,6876.436388508892
16,CC00082XX09,181.5135687108326,232.5897894521668,2358.8314682184423,3255.6332788225673,554.6017233661594,770.2605273916598,8223.21128021486,12710.615699100572
17,CC00083XX10,470.47099689078897,248.7762030623405,2990.9871745044693,4484.173168064163,852.4380101049359,607.2845424717462,7072.78429848426,9898.02989427634
18,CC00084XX11,339.245893501805,387.0994643934822,3910.1292418772564,4200.739589619795,1024.7567689530686,966.2463789981895,9380.59927797834,8158.803258901629
19,CC00085XX12,174.1731071179344,249.81971665956542,3059.191905094208,2221.4763527907967,936.1530006978367,773.7582552194291,9762.826238660153,9183.351512569237
20,CC00086XX13,398.51610725308643,168.30038688282977,3652.5694444444443,3323.4314664701546,767.8320794753087,969.0247789240973,7647.692901234568,9822.868091378039
21,CC00088XX15,300.89773151605675,274.01043310970795,3369.471994025392,2866.6381215469614,1111.2671769977596,1238.7352012628255,9785.038834951456,7940.741910023678
22,CC00089XX16,394.6485985533454,202.930174563591,4607.620976491862,3592.5754364089776,1071.4308318264013,439.45199501246884,8588.674141048825,7648.724438902743
23,CC00091XX10,240.78504533014026,241.53580160670626,3748.074580910024,3152.515892420538,638.9817824153267,604.1381418092909,9133.239822100582,8029.665385958784
24,CC00094AN13,172.54921834457707,380.7621484953133,3215.6787752983914,3025.829304390725,580.2244421380384,1250.4797730636408,11948.94447327452,8591.610261470152
25,CC00094BN13,361.6603587962963,446.4690799396682,3239.066435185185,3195.698717948718,411.11452546296294,1049.8616138763198,7124.873611111111,7322.978883861237
26,CC00095XX14,346.77649742629853,369.00186104218363,3344.3266261113713,4068.3009925558313,688.9474145999064,1390.9815136476427,9058.068320074872,10754.298759305211
27,CC00096XX15,135.4282189322566,165.07704515082094,3125.4515477792734,2554.155593738068,1209.1594885598922,917.5998472699504,9205.022880215343,7752.604810996563
28,CC00097XX16,639.6137008153137,374.68927624100036,3818.8309110244595,4293.591133004926,1700.0779865295995,1376.936244789693,7369.5257001063455,9609.652140962486
29,CC00099AN18,311.0526891252955,331.96303267045454,4643.423167848699,3107.4727272727273,433.35859929078015,521.4764204545454,11409.026004728132,7679.382954545455
30,CC00099BN18,444.2380427003817,230.06543489861258,3386.7170801526718,3686.319637139808,1168.8500715648854,1027.0726387406617,8063.697519083969,8183.613660618997
31,CC00100XX01,295.77280793319414,170.57889168885507,3196.0734864300625,2903.5028527957397,947.3125260960334,599.7807151007988,10880.946972860125,8660.961582350703
32,CC00101XX02,435.297308319739,277.4586667879229,4200.544861337684,3015.4259730811204,1461.3121941272432,944.4816296835213,8403.501631321371,8025.828301200437
33,CC00102XX03,333.2942300343905,423.2120486569793,3854.5911348872755,3363.988551298987,935.7036683225067,593.6113496257155,8928.108521207489,6566.7018934390135
34,CC00104XX05,344.73736478925775,339.72909309791333,3820.6139500186496,4365.8420545746385,1225.084390152928,730.7855537720707,9041.187616560985,10209.521669341893
35,CC00105XX06,217.11189516129033,338.2258587352138,3963.108504398827,3267.592584167425,975.328655215752,826.5072224749772,9066.15081692501,7746.085532302092
36,CC00106XX07,466.4121913580247,249.55472068819032,3453.2205761316873,3527.666737468139,893.0797325102881,1155.1395497026338,6736.812345679013,9847.548003398471
37,CC00107XX08,259.03026905829597,264.96136997212267,2775.7125560538116,2868.179211469534,1121.9579596412557,658.7580147351653,11405.97668161435,9792.700915969734
38,CC00108XX09,570.4441186616075,739.0815692204301,3914.790962400828,4395.199596774193,1115.0008623663332,1021.6788474462365,8348.456709210073,8355.52688172043
39,CC00109XX10,209.40417511403953,336.67216981132077,3009.220983274202,4021.668026517083,1141.3028383172834,488.032668281489,7120.020273694881,8514.315145334012
40,CC00110XX03,295.4155652418448,387.7211890673429,4539.966254218222,3860.814877430262,908.7769966254218,989.6582840236687,8243.141732283464,7998.7748661594815
41,CC00111XX04,293.3517682468021,226.78514474975466,4454.583145221972,2644.2986588158324,1104.2068284424379,926.9612365063788,8033.3634311512415,9252.209355577363
42,CC00113XX06,335.9637791741472,225.06732625482624,3052.7012567324955,3563.8359073359075,452.22235188509876,861.4841698841699,9196.85026929982,8978.823938223939
43,CC00114XX07,265.65379665379663,203.16389705882352,2596.5808665808668,2099.1845098039216,794.1830223080223,901.3452941176471,6960.925353925354,6819.433725490196
44,CC00117XX10,169.22709332533972,169.8803115472561,2369.416466826539,2877.0887957317073,1089.0713429256596,489.4086318597561,9525.968025579536,6822.792682926829
45,CC00118XX11,232.02838615260396,234.60064239828694,3583.7327412192167,3093.822983583155,1491.1816713766652,942.3425231977159,7262.646750100928,10263.530335474661
46,CC00119XX12,277.9667783589408,314.03486394557825,2670.8401438378555,3596.2108843537417,665.8535469107552,799.1237244897959,9983.44426283099,11424.977324263038
47,CC00120XX05,243.51335534213686,279.30714791224347,2659.3025210084033,2575.3579263977354,802.6124449779912,769.8016631280963,7039.319727891157,9488.99787685775
48,CC00122XX07,298.012070226774,245.08530709654178,2316.5815654718363,2678.787103746398,864.0629114850036,904.6775936599423,8530.324798829553,8715.625360230548
49,CC00126XX11,252.38546148881238,330.8984043681086,3202.222461273666,3043.960559796438,1510.344556798623,776.8614291772689,10786.42082616179,7788.498727735369
50,CC00127XX12,248.33300663449938,157.0729565467075,3347.4352633695216,4191.029096477795,1692.0466425412144,887.9278330781011,8746.90792119019,11347.294793261868
51,CC00131XX08,366.62403441011236,283.3688540456833,2989.327598314607,3779.2725512969414,930.0387113764045,795.6069492837786,8132.747191011236,8688.798296554394
52,CC00138XX15,275.06411034353994,164.23747605363985,3413.66355489171,3136.14214559387,1004.2558812546677,728.4369731800766,9924.537714712473,7101.504980842912
53,CC00139XX16,476.97472908906195,376.8444224683544,6180.775482560109,6617.151898734177,936.8113782593972,1020.7745253164557,8776.84117846258,10082.021518987342
54,CC00143AN12,355.20149128686325,553.6649335334477,3851.225201072386,4272.8987993138935,482.90577524575514,1120.757718696398,6830.446380697051,7777.108061749571
55,CC00145XX14,203.42951861489192,237.68054824561403,2841.8146517213772,3135.8540350877192,626.2175740592475,419.87666666666667,8669.756605284227,8645.072280701754
56,CC00150AN02,459.9021116678597,458.5723796517583,3667.183249821045,3403.4585182656197,572.5025053686471,1019.2391601229089,7943.7022190408015,10718.224650051212
57,CC00150BN02,345.13636916342415,434.3254746055227,3625.0710116731516,3294.377218934911,870.663484922179,1000.8187253451676,10040.00486381323,8882.124260355029
58,CC00153XX05,338.1765589244851,291.7794070852779,3329.2593440122046,4040.3742044972423,1392.0204042715484,654.7121340687314,7016.370709382151,9604.34280865507
59,CC00155XX07,412.6795789043336,526.2532933543059,3786.12551103843,3386.9244986236727,749.3602820932134,999.5151395988989,9682.228127555192,7178.449075894613
60,CC00156XX08,283.29992591373065,300.8796106557377,3783.09878169246,3597.240163934426,1134.501646361541,859.3352459016394,8972.978597299967,7374.604918032787
61,CC00157XX09,249.7586797752809,154.01170973696355,2618.5676404494384,2842.361559760037,586.0420786516854,569.454833871712,7127.762696629214,10669.616059067836
62,CC00158XX10,469.8561398113981,314.9436994856723,3393.9223042230424,3664.8905216752387,809.5994772447724,800.3479977957385,7826.644526445264,7740.166789125643
63,CC00159XX11,161.7300367524223,111.92746815286624,2722.8925826929503,3002.1547770700636,1033.0048446374874,576.3404060509554,9757.209488807217,9517.847133757961
64,CC00160XX04,328.65668385561287,468.52452718676125,4547.810789369298,4299.50512214342,446.69506148353827,510.0872241922774,7285.953193177311,8942.284475965327
65,CC00162XX06,421.56328751431846,589.3528966300644,4107.132111492936,3705.934873154108,562.6500572737687,1124.544964028777,9589.558610156548,7559.2116622491485
66,CC00163XX07,375.63828320802,299.28378283957517,5760.246115288221,3934.996646171045,252.4831923558897,224.92232043040804,8747.205012531329,8273.832308552264
