,Subject_ID,L_eccentricity_real_benson,R_eccentricity_real_benson,L_polarangle_real_benson,R_polarangle_real_benson,L_eccentricity_real_simulated,R_eccentricity_real_simulated,L_polarangle_real_simulated,R_polarangle_real_simulated
0,HCD1342033_V1_MR,173.13668876482902,174.56414967006597,3444.915212840195,3258.599280143971,599.8065683879972,446.80241451709657,6342.8039078855545,5411.179364127174
1,HCD2134031_V1_MR,235.0755269897557,209.90047951885566,4241.338455476754,2927.5695708712615,672.3374704491725,345.3529746423927,7786.6761229314425,6746.633289986996
2,HCD2203933_V1_MR,311.1370485090298,218.859132670263,3996.7219655606887,5912.062036412677,797.277614447711,496.60957518543495,5823.121377572448,8936.44639244774
3,HCD1003617_V1_MR,258.374558996472,309.6473811914324,3568.143081144649,2788.0348058902277,968.2326538612309,757.2585341365461,5987.495883967072,5197.3755020080325
4,HCD0183539_V1_MR,235.80214285714285,216.01573172814207,3558.2685714285712,3445.5081967213114,302.41754761904764,282.20432035519127,6725.623619047619,7083.616803278688
5,HCD0630134_V1_MR,1183.3791148500366,811.690814558059,4261.979517190929,5424.010745233969,1633.3141916605705,1155.6095320623917,5283.238478419898,7864.460311958405
6,HCD0418338_V1_MR,304.78975356071965,315.3732471817432,5605.315592203898,5191.695903216937,527.7688343328335,706.1411877921364,6972.367316341829,7494.498212812758
7,HCD2339049_V1_MR,261.0761073253833,282.75104082728984,4952.703577512777,3825.060972334139,687.6362436115843,544.2558420628526,5260.961499148211,6679.213000268601
8,HCD0614237_V1_MR,350.68331053351574,751.1191849981969,3158.6598267213863,5959.9823296069235,683.3991678066576,1021.0799675441759,5561.396260829913,7787.666065632889
9,HCD1778070_V1_MR,262.6470608292417,372.6259746588694,4378.5204582651395,4716.832358674464,702.9809056192034,703.426291423002,5700.654664484452,7118.495126705653
10,HCD2764771_V1_MR,238.90745868495077,297.41038390379276,4524.908227848101,3324.9790317607153,573.3098628691984,435.3827089115017,7259.565400843881,6749.897008942337
11,HCD0031617_V1_MR,256.8984500805153,334.1556238615665,4129.229468599034,3966.3260473588343,445.2830112721417,435.8277929568913,7261.17230273752,6331.452337583485
12,HCD2105125_V1_MR,250.09562329700273,342.62064050972504,4945.956403269754,3841.7002012072435,363.37465940054494,437.76827632461436,7049.464577656676,7431.974513749162
13,HCD2724456_V1_MR,282.9598426365796,244.30659609120522,3525.4829770387964,3241.071661237785,715.7591547901822,750.2091205211726,6095.726840855107,5824.048208469056
14,HCD0071831_V1_MR,367.7199379751901,499.8304602065614,5541.102040816327,5213.188942891859,549.3103741496599,841.227369380316,6036.897158863545,6478.1944106925885
15,HCD1223833_V1_MR,616.5954232995658,421.35829671749804,3433.2847322720695,4746.340656500388,750.4305354558611,830.4449470147325,6957.813314037627,8388.325148617214
16,HCD0697772_V1_MR,184.3244733377222,193.55997314108,3577.0984200131666,2239.5024031665253,331.824637919684,248.27777777777777,4809.774851876235,5776.385072094996
17,HCD1756262_V1_MR,268.8127329718739,435.9133256417652,5060.143680108437,4254.322180559561,845.099966113182,1060.1694548601097,7073.823788546256,9283.45659071243
18,HCD0244230_V1_MR,224.45206133964325,194.00450600801068,2641.0993811430653,3935.2939919893192,481.35411357844924,362.83718291054737,7010.245358572989,5659.924165554072
19,HCD0627852_V1_MR,1160.218940316687,541.5216788321168,3513.200568412505,5688.875912408759,1283.0136012992286,887.6687591240876,5951.206252537556,10550.575182481753
20,HCD1012719_V1_MR,286.33064216778024,186.16832267926625,3358.2041573867855,3549.4997220678156,740.7815051967335,489.15703168426904,6766.63994060876,6052.996108949416
21,HCD0960458_V1_MR,292.13037949921755,289.55246988932294,4552.564945226917,5382.794921875,743.0951682316119,614.3456217447916,6045.874021909233,7865.220052083333
22,HCD0343333_V1_MR,326.5574063344921,293.02798087739035,5048.636925453843,4012.0509936257968,759.9953167246041,403.3513779527559,6272.221707222866,6893.886014248219
23,HCD0752855_V1_MR,249.40035778175314,213.87605238540692,5804.754919499105,3996.5500467726847,486.11042039355993,280.20694964140944,7382.909481216458,7696.995946367321
24,HCD0328842_V1_MR,255.50725409836065,258.7297016861219,3467.464918032787,3144.2472114137486,530.9790573770492,541.1807068741894,7184.824918032787,7890.479377431907
25,HCD0692964_V1_MR,281.4585834896811,327.7786594761171,3204.3013133208256,3527.1482280431433,495.0270637898687,408.1804314329738,6108.277298311445,6307.82249614792
26,HCD2336346_V1_MR,436.8899397388684,370.75646082698586,3936.7050552393707,4968.983677910773,1033.5117174422498,689.457154515778,5757.07666555072,7941.26169749728
27,HCD2059245_V1_MR,342.1961574217539,396.96083929011587,4267.961264332197,4082.4789253142717,1060.1041214750542,764.0958836578753,5001.568019832662,6084.742420507764
28,HCD1712444_V1_MR,228.34794871794873,203.39092380111796,4745.206153846154,4276.451309208591,602.824358974359,532.5444248308326,6745.505641025641,7379.848190644308
29,HCD2035635_V1_MR,151.74327240999264,282.10820578231295,3835.0264511388687,5241.702535559679,759.8546565025716,810.222016079159,7962.724467303453,8072.199752628324
30,HCD2155140_V1_MR,241.45459611269615,299.90715028809217,3245.6990014265334,4437.831306017926,297.9159013908702,614.2850912291933,6506.20970042796,8814.175416133163
31,HCD0676764_V1_MR,259.80567204301076,299.6607849037139,4686.017204301075,4315.251031636863,594.7601075268817,614.360900962861,7119.589677419355,7613.817744154057
