,Subject_ID,L_eccentricity_real_benson,R_eccentricity_real_benson,L_polarangle_real_benson,R_polarangle_real_benson,L_eccentricity_real_simulated,R_eccentricity_real_simulated,L_polarangle_real_simulated,R_polarangle_real_simulated
0,HCD1723651_V1_MR,183.53938876233866,218.37014593123916,3070.777777777778,2554.4976502597083,554.7796760313845,339.8815854563443,8278.723867375347,6647.43062082612
1,HCD0295146_V1_MR,178.1891435464415,156.47814199209094,3570.291435464415,2730.904597132971,548.6585042219542,645.4945625308947,7476.432810615199,8378.155215027187
2,HCD0786771_V1_MR,85.90346699158175,105.31003792012221,2055.037660611431,2405.373199476211,504.9001993797076,481.6938018332606,7863.6880815241475,7834.036665211698
3,HCD0111716_V1_MR,202.16720266305575,171.40718085106383,3313.909726923945,3701.055767077268,338.08062514105166,403.23451847704365,6328.792146242383,7973.103695408735
4,HCD0529751_V1_MR,172.23934997616777,245.53384154120948,3776.2442802669207,3543.248277621842,669.5887750238322,480.2259504975759,7874.494756911344,7697.297269711661
5,HCD1029837_V1_MR,122.19042925974595,144.93881072116415,2800.718791064389,3299.0139096939865,456.4951817783618,360.3662796918468,7540.725361366623,9063.07211641344
6,HCD2146139_V1_MR,233.63757611403267,282.31690262430936,3750.506227511763,3591.3085635359116,550.3816080819264,519.8995165745856,6604.1428176030995,7617.81546961326
7,HCD2008329_V1_MR,160.46964798850576,194.14112251961237,2786.155956112853,2968.785417628057,427.38022466039706,479.62574988463314,6383.9508881922675,6728.41255191509
8,HCD1223934_V1_MR,198.3519132653061,232.92057860262008,2371.429336734694,3152.423095584668,427.27720025510206,416.1272137311984,6559.160714285715,6688.732654051431
9,HCD1071836_V1_MR,157.01314772997387,144.9440160482586,2441.412883289755,2813.24675620305,541.3588067506537,464.999317095379,6655.032564772998,7838.721602549511
10,HCD0951861_V1_MR,142.9124677737337,218.09742167101828,3124.9293296936607,2367.058311575283,294.4524757355171,577.4396576733392,8157.327267212618,7588.025529445895
11,HCD1289358_V1_MR,161.30573197840584,170.63173563560582,2391.9707843759925,1857.4486454301875,544.2022864401397,480.0364319738017,7111.845030168307,6816.553140815719
12,HCD1785572_V1_MR,225.4202313693839,229.0449484223301,3080.293516276567,3313.267233009709,529.2051385525962,441.1439927184466,6047.553403282217,6469.9674757281555
13,HCD0772760_V1_MR,246.02871860005644,351.4673066411588,3051.9926615862264,4365.581579666576,430.81350550381035,619.3479092648264,7759.050522156364,7892.3552883301445
14,HCD0059235_V1_MR,297.63364852398524,276.0504352400995,5829.245848708487,4696.311842356992,574.3472094095941,461.75726994451884,8558.262915129151,9347.302085326191
15,HCD0134526_V1_MR,262.5793738609737,301.28097516813244,3790.0489455870866,3003.71184687015,881.3691746940901,658.2487713398862,8647.397032022911,6385.2550439730985
16,HCD0338744_V1_MR,89.22536072772898,161.91318838773984,2488.115683814304,3186.750311487665,476.38550815558347,388.6118863692998,8300.893851944793,9121.444306005482
17,HCD1346849_V1_MR,85.67800282763707,144.75200603232415,3022.319154167691,2979.601183701343,511.2831940004918,602.4447416344184,6333.648389476272,7842.7297974049625
18,HCD0183438_V1_MR,165.463951008273,216.73660614836265,3059.7911065149947,3624.7807975050123,421.8236168562565,369.8560369792827,7052.653567735264,7612.346625083537
19,HCD2301428_V1_MR,246.06369828456104,293.5046000981354,3417.1584258324924,4422.884690873405,691.6012865792129,667.7121565260059,7250.908173562058,8358.015701668302
20,HCD0124725_V1_MR,159.3673363095238,178.61979166666666,3149.333095238095,2952.485136452242,594.3386904761904,477.1085221734893,7126.611904761905,6880.4049707602335
21,HCD0123925_V1_MR,167.6858355729294,252.78266413811144,3354.839726362082,3554.5228877844625,732.2152455411679,500.5551268637196,7749.233325189348,7991.3026419042635
22,HCD1856468_V1_MR,219.16380296100144,220.53700575575576,3872.2746750120364,3487.805055055055,293.88673567645645,458.41672922922925,7621.932595089071,6274.183183183183
23,HCD0232223_V1_MR,207.00710263629384,290.9089562167392,3457.9534169439466,3132.8132559264636,574.9000511901714,589.4661949685535,7173.756334783721,8075.030478955007
24,HCD0224123_V1_MR,741.2609478536444,688.8599671551289,3308.9063670411983,3309.1859525012633,1153.6603284356092,1300.4598281960587,6770.840103716509,7083.096008084892
25,HCD0121719_V1_MR,234.39501644736842,183.07860859124867,3925.886315789474,3011.0480256136607,808.0321710526316,386.99089514407683,9204.483157894736,7103.417289220918
26,HCD1664762_V1_MR,201.4740817213649,221.1699727120067,3637.936535535753,3403.0902602854744,529.8618235166268,518.2517842149455,6848.37687459248,8172.157010915197
27,HCD2878382_V1_MR,241.2546967351534,275.6804559426229,4082.4182381086407,3637.5517418032787,365.5347945398255,610.9358990778688,6272.422178440755,8640.774590163934
28,HCD0118528_V1_MR,104.8533390856994,97.97642128724964,2977.2888773117998,2513.861993160723,641.3089346183903,470.95676599902293,9030.389163844751,8210.220810942843
29,HCD0478356_V1_MR,150.2965784358564,549.1009443593671,4195.147495998171,3263.4788157223074,509.37365652869886,1075.627998979071,8615.411845415047,8629.963246554364
30,HCD0143426_V1_MR,115.77238604621635,140.86517900782013,2364.695276790249,3049.3616813294234,694.8476383951245,530.1803519061583,7179.579481970543,6362.647116324536
31,HCD2068145_V1_MR,616.7988151658768,541.4773439248154,4382.989099526067,3635.974043410159,1051.0524881516587,1135.4436115462072,6331.897156398104,8679.25262922354
32,HCD0214423_V1_MR,192.62706204767986,287.80284574468084,2393.431460195828,2581.662553191489,519.4338548318433,498.6309574468085,6611.40570455513,6124.784680851064
33,HCD1305936_V1_MR,97.86597604188704,185.5801393728223,3050.5673788872436,2862.7149005943843,569.8114554685848,487.76163148186106,7329.533319229956,6927.847509735601
34,HCD2884175_V1_MR,163.53698052891602,178.6017260125034,2927.4365010171464,3264.749660233759,596.0403952339436,623.9493068768687,8561.271142109852,8941.933134003806
