,sub_id,Group,hemi,area,linear_fit,slope,y_shift
721,sub-CC01217XX13,2nd,L,ventral,0.03941498571043234,-2.490256556889041,62.53726275472801
722,sub-CC01129XX16,2nd,L,ventral,0.04557830292063081,-3.2965734500696233,78.6834586126871
723,sub-CC00924XX17,2nd,L,ventral,0.038790170364013665,-3.229874736625262,89.80897149459253
724,sub-CC01094XX15,2nd,L,ventral,0.02283885025632948,-2.1797246223475013,66.54701310178594
725,sub-CC01185XX15,2nd,L,ventral,0.03767923998727951,-2.4060659705749097,51.70313109738077
726,sub-CC00887XX22,2nd,L,ventral,0.03276503972338052,-3.0699124432973237,79.46371703706255
727,sub-CC01003XX05,2nd,L,ventral,0.03334428897764252,-2.9463664099867324,80.67744926765312
728,sub-CC01081XX10,2nd,L,ventral,0.03744689718144745,-3.4010972501751855,95.75850313655486
729,sub-CC00898XX25,2nd,L,ventral,0.024440751800439142,-2.518174944745018,94.75098944971131
730,sub-CC00862XX13,2nd,L,ventral,0.06941539448196954,-4.548342474232884,99.27968542805067
731,sub-CC00902XX11,2nd,L,ventral,0.004545324668039918,-0.9592808335217018,54.55887313872369
732,sub-CC01263XX10,2nd,L,ventral,0.0021164242854651016,0.6465801015960374,45.38035835738583
733,sub-CC00992XX20,2nd,L,ventral,0.008160382293320834,-1.3985444353133492,86.41508743432881
734,sub-CC01001XX03,2nd,L,ventral,0.04577495420916,-3.8253982281810854,90.35824719731387
735,sub-CC01010XX04,2nd,L,ventral,0.013356128966989456,-1.6971857879165615,51.219028103779266
736,sub-CC00952XX12,2nd,L,ventral,0.040395505540021914,-2.851623455996478,76.97234655001682
737,sub-CC00959XX19,2nd,L,ventral,0.00014536424609923326,-0.16703626235761995,66.29844947851815
738,sub-CC01088XX17,2nd,L,ventral,5.248630092435924e-05,-0.13312089491863835,74.29972394865167
739,sub-CC01035XX13,2nd,L,ventral,0.12670971150583898,-6.024183370338695,121.2485695498896
740,sub-CC00932XX17,2nd,L,ventral,0.03085244268256182,-2.7741842395051153,111.19349438497554
741,sub-CC01177XX15,2nd,L,ventral,0.07637396299683141,-3.086963008462898,52.319487374994246
742,sub-CC01008XX10,2nd,L,ventral,0.052250892384711034,-2.5241139618501918,38.29854154504545
743,sub-CC01146XX17,2nd,L,ventral,0.008379190675017578,-1.428689580433322,69.14588785763296
